mode,o_zone_id,d_zone_id,o_x_coord,o_y_coord,d_x_coord,d_y_coord,total_distance_mile,total_distance_km,total_free_flow_travel_time,total_congestion_travel_time,volume,
auto,1,2,-87.6756,42.0117,-87.6994,42.0036,1.33783,2.15257,3.26,3.37102,347.31
auto,1,3,-87.6756,42.0117,-87.6649,41.9774,2.38213,3.83285,4.89,5.68764,390.81
auto,1,4,-87.6756,42.0117,-87.6899,41.9639,3.95636,6.36578,8.17,9.12465,204.51
auto,1,5,-87.6756,42.0117,-87.653,41.9324,5.49253,8.83748,9.1,9.93758,373.73
auto,1,6,-87.6756,42.0117,-87.7435,41.99,3.77325,6.07116,7.75,8.11912,199.7
auto,1,7,-87.6756,42.0117,-87.7256,41.9603,5.80255,9.3363,12.09,13.3702,119.69
auto,1,8,-87.6756,42.0117,-87.7994,41.9873,6.84355,11.0113,12.57,13.5133,96.23
auto,1,9,-87.6756,42.0117,-87.822,41.9486,9.79249,15.7561,17.54,18.6374,39.53
auto,1,10,-87.6756,42.0117,-87.7637,41.9387,8.80518,14.1675,15.29,17.9742,75.72
auto,1,11,-87.6756,42.0117,-87.7613,41.8964,11.6748,18.7847,21.21,24.4718,24.02
auto,1,12,-87.6756,42.0117,-87.7256,41.9018,8.56276,13.7775,17.6,20.7712,27.71
auto,1,13,-87.6756,42.0117,-87.7196,41.8721,15.4144,24.8018,20.5,23.597,32.98
auto,1,14,-87.6756,42.0117,-87.7137,41.9297,6.57581,10.5805,13.57,15.059,124.31
auto,1,15,-87.6756,42.0117,-87.6804,41.9036,10.5912,17.0412,15.51,16.8251,72.66
auto,1,16,-87.6756,42.0117,-87.6684,41.8757,11.6255,18.7054,16.95,18.5753,124.83
auto,1,17,-87.6756,42.0117,-87.6375,41.9018,7.71296,12.4102,12.18,13.4374,311.17
auto,1,18,-87.6756,42.0117,-87.6304,41.8802,9.22202,14.8382,14.32,15.687,157
auto,1,19,-87.6756,42.0117,-87.6256,41.8586,10.7062,17.2263,16.48,17.9725,32.43
auto,1,20,-87.6756,42.0117,-87.7173,41.8406,18.4436,29.6758,24.29,28.3136,13.38
auto,1,21,-87.6756,42.0117,-87.6708,41.8541,13.0945,21.0691,20.16,21.8409,17.47
